study_hours,sleep_hours,social_hours,physical_activity,gpa,academic_pressure,gender,age,financial_stress,study_satisfaction,peer_competition,relationship_stress,sleep_problems,irritability,burnout_risk
4.95,8.7,2.8,1.8,2.99,5.0,1,33.0,1.0,2.0,4,4,4,4,Low
4.15,8.0,4.2,3.0,2.75,1.0,0,24.0,2.0,5.0,2,2,4,4,Low
7.05,9.2,1.2,4.6,2.67,1.0,1,31.0,1.0,5.0,3,3,3,1,Low
5.25,7.2,1.7,6.5,2.88,5.0,0,28.0,5.0,2.0,3,3,1,5,Low
4.55,6.5,2.2,6.6,3.51,5.0,0,25.0,1.0,3.0,4,2,2,2,Low
5.0,8.0,0.3,7.6,2.85,5.0,1,29.0,1.0,3.0,4,2,3,1,Low
4.5,5.3,5.7,4.3,3.08,5.0,1,30.0,2.0,4.0,4,2,4,1,Medium
4.2,5.6,3.0,5.2,3.2,5.0,0,30.0,1.0,4.0,2,3,1,2,Medium
8.6,6.3,4.0,4.9,2.82,1.0,1,28.0,3.0,1.0,3,2,3,3,Low
4.85,9.8,4.5,1.3,2.76,5.0,1,31.0,5.0,3.0,2,1,2,4,Low
10.35,8.0,2.5,0.2,3.43,5.0,1,24.0,1.0,3.0,5,3,2,3,Medium
8.45,9.1,2.1,4.8,2.97,5.0,1,33.0,2.0,4.0,5,3,2,2,Medium
8.2,5.7,4.8,4.9,2.82,5.0,1,27.0,1.0,1.0,3,1,1,2,High
5.5,8.5,4.4,2.8,2.87,1.0,0,19.0,2.0,4.0,3,3,3,4,Low
6.45,6.8,0.7,7.3,3.4,5.0,0,19.0,5.0,5.0,3,3,4,2,Low
8.35,6.6,2.0,8.4,3.2,5.0,1,29.0,2.0,3.0,1,1,5,2,Medium
5.3,9.4,1.6,1.8,3.36,5.0,1,25.0,5.0,2.0,5,2,2,4,Low
9.4,8.9,2.0,2.1,3.19,5.0,0,20.0,3.0,3.0,2,2,5,2,Medium
6.8,5.1,0.6,9.0,3.16,5.0,1,19.0,3.0,2.0,4,1,2,4,Medium
7.3,9.5,1.5,4.4,2.93,5.0,1,25.0,3.0,3.0,2,1,1,1,Low
4.05,6.1,0.5,7.3,2.9,5.0,1,29.0,1.0,4.0,1,4,5,1,Low
4.8,8.2,2.6,0.4,3.34,5.0,1,29.0,1.0,3.0,1,1,4,4,Low
9.5,9.5,2.6,2.2,3.21,5.0,0,25.0,5.0,3.0,5,5,4,3,Medium
8.55,9.1,5.2,1.9,2.85,5.0,1,23.0,3.0,4.0,5,1,2,2,Medium
8.0,7.1,1.3,8.6,2.68,1.0,1,18.0,5.0,3.0,4,5,4,2,Low
5.85,7.6,3.8,1.6,3.29,5.0,0,20.0,2.0,5.0,3,4,4,4,Low
4.9,9.8,0.9,2.6,2.64,5.0,1,31.0,3.0,5.0,2,1,2,4,Low
8.2,8.0,3.0,6.5,2.95,5.0,1,25.0,5.0,3.0,1,1,4,1,Medium
6.65,9.5,1.4,6.7,2.79,1.0,1,33.0,3.0,2.0,5,5,3,4,Low
10.45,8.4,3.6,1.1,3.25,5.0,1,28.0,2.0,3.0,2,1,2,3,Medium
5.6,6.8,3.8,4.3,3.05,5.0,1,18.0,4.0,5.0,3,3,2,1,Low
4.75,6.6,1.1,7.5,3.26,1.0,1,18.0,2.0,3.0,2,4,2,1,Low
6.1,8.4,0.1,7.9,2.47,1.0,1,21.0,2.0,1.0,1,2,2,3,Low
8.1,8.5,2.3,4.3,3.24,5.0,0,31.0,4.0,3.0,1,1,5,1,Medium
4.85,6.7,0.7,6.3,3.62,5.0,1,21.0,3.0,3.0,3,1,1,4,Low
5.55,7.6,1.2,3.9,3.12,5.0,0,25.0,2.0,3.0,3,1,1,3,Low
2.75,9.5,3.4,2.0,2.58,1.0,0,21.0,4.0,2.0,2,2,3,1,Low
8.8,9.4,1.9,0.5,3.03,5.0,1,28.0,1.0,3.0,2,2,2,2,Medium
7.1,5.8,5.4,4.3,3.29,5.0,1,28.0,3.0,2.0,2,2,1,5,Medium
4.0,7.7,4.2,6.5,2.61,1.0,1,25.0,4.0,4.0,5,3,1,2,Low
9.65,8.6,1.4,4.8,3.48,5.0,0,20.0,5.0,2.0,5,5,1,2,Medium
9.1,8.3,2.3,1.8,3.07,5.0,1,23.0,1.0,4.0,2,3,4,5,Medium
3.75,6.3,1.5,9.2,2.81,1.0,1,19.0,1.0,3.0,5,3,2,2,Low
9.75,9.0,1.5,1.5,3.49,5.0,0,33.0,5.0,1.0,2,1,4,3,Medium
9.95,6.0,4.3,3.8,2.97,5.0,0,23.0,5.0,4.0,2,4,2,2,Medium
9.85,9.6,0.3,0.6,3.55,5.0,1,22.0,1.0,1.0,1,3,1,4,Medium
3.55,7.1,5.8,2.3,2.6,1.0,0,19.0,3.0,2.0,1,3,3,4,Low
5.15,5.8,3.3,4.3,3.09,5.0,0,30.0,4.0,3.0,2,4,3,1,Medium
5.35,7.9,0.3,3.3,3.47,5.0,1,21.0,5.0,3.0,4,5,1,5,Low
4.7,8.5,2.2,0.9,3.18,5.0,0,19.0,4.0,5.0,1,1,3,2,Low
8.4,9.0,4.9,2.1,3.12,5.0,1,23.0,4.0,3.0,5,3,2,2,Medium
10.5,8.5,3.1,0.8,4.0,5.0,0,23.0,5.0,1.0,3,1,3,3,Medium
10.25,6.9,0.6,5.6,3.33,5.0,0,18.0,4.0,5.0,5,1,2,2,Medium
9.65,6.4,3.5,4.6,3.11,5.0,1,28.0,1.0,1.0,5,5,3,5,Medium
6.6,9.1,2.2,7.4,2.79,1.0,1,24.0,1.0,3.0,3,3,2,1,Low
6.9,8.1,0.5,5.7,3.1,5.0,0,33.0,2.0,1.0,3,4,2,4,Low
6.15,7.7,3.8,5.1,2.39,1.0,0,20.0,3.0,2.0,2,2,3,5,Low
10.0,7.2,0.5,6.2,3.39,5.0,1,23.0,4.0,1.0,1,3,5,1,Medium
8.05,9.2,4.0,1.8,2.52,1.0,1,23.0,4.0,1.0,3,2,3,1,Low
7.4,7.7,4.3,5.2,2.8,1.0,0,24.0,2.0,1.0,3,1,3,1,Low
7.65,9.8,3.5,1.3,3.67,5.0,1,25.0,3.0,1.0,2,4,2,1,Low
5.05,6.8,4.5,4.6,3.27,5.0,0,24.0,5.0,3.0,2,2,2,5,Low
7.55,5.2,0.2,13.0,2.85,5.0,0,24.0,5.0,4.0,2,2,4,1,Medium
3.7,7.5,2.8,5.9,3.26,5.0,1,31.0,3.0,5.0,2,2,2,3,Low
4.95,7.0,3.7,5.7,2.8,1.0,1,20.0,5.0,4.0,2,4,4,2,Low
