study_hours,sleep_hours,social_hours,physical_activity,gpa,academic_pressure,gender,age,financial_stress,study_satisfaction,peer_competition,relationship_stress,sleep_problems,irritability
4.95,8.7,2.8,1.8,2.99,Moderate,Male,33.0,1.0,2.0,4,4,4,4
4.15,8.0,4.2,3.0,2.75,Low,Female,24.0,2.0,5.0,2,2,4,4
7.05,9.2,1.2,4.6,2.67,Low,Male,31.0,1.0,5.0,3,3,3,1
5.25,7.2,1.7,6.5,2.88,Moderate,Female,28.0,5.0,2.0,3,3,1,5
4.55,6.5,2.2,6.6,3.51,High,Female,25.0,1.0,3.0,4,2,2,2
5.0,8.0,0.3,7.6,2.85,Moderate,Male,29.0,1.0,3.0,4,2,3,1
4.5,5.3,5.7,4.3,3.08,High,Male,30.0,2.0,4.0,4,2,4,1
4.2,5.6,3.0,5.2,3.2,High,Female,30.0,1.0,4.0,2,3,1,2
8.6,6.3,4.0,4.9,2.82,Low,Male,28.0,3.0,1.0,3,2,3,3
4.85,9.8,4.5,1.3,2.76,Moderate,Male,31.0,5.0,3.0,2,1,2,4
10.35,8.0,2.5,0.2,3.43,High,Male,24.0,1.0,3.0,5,3,2,3
8.45,9.1,2.1,4.8,2.97,Moderate,Male,33.0,2.0,4.0,5,3,2,2
8.2,5.7,4.8,4.9,2.82,High,Male,27.0,1.0,1.0,3,1,1,2
5.5,8.5,4.4,2.8,2.87,Low,Female,19.0,2.0,4.0,3,3,3,4
6.45,6.8,0.7,7.3,3.4,High,Female,19.0,5.0,5.0,3,3,4,2
8.35,6.6,2.0,8.4,3.2,Moderate,Male,29.0,2.0,3.0,1,1,5,2
5.3,9.4,1.6,1.8,3.36,High,Male,25.0,5.0,2.0,5,2,2,4
9.4,8.9,2.0,2.1,3.19,High,Female,20.0,3.0,3.0,2,2,5,2
6.8,5.1,0.6,9.0,3.16,High,Male,19.0,3.0,2.0,4,1,2,4
7.3,9.5,1.5,4.4,2.93,Moderate,Male,25.0,3.0,3.0,2,1,1,1
4.05,6.1,0.5,7.3,2.9,Moderate,Male,29.0,1.0,4.0,1,4,5,1
4.8,8.2,2.6,0.4,3.34,High,Male,29.0,1.0,3.0,1,1,4,4
9.5,9.5,2.6,2.2,3.21,High,Female,25.0,5.0,3.0,5,5,4,3
8.55,9.1,5.2,1.9,2.85,Moderate,Male,23.0,3.0,4.0,5,1,2,2
8.0,7.1,1.3,8.6,2.68,Low,Male,18.0,5.0,3.0,4,5,4,2
5.85,7.6,3.8,1.6,3.29,High,Female,20.0,2.0,5.0,3,4,4,4
4.9,9.8,0.9,2.6,2.64,Moderate,Male,31.0,3.0,5.0,2,1,2,4
8.2,8.0,3.0,6.5,2.95,Moderate,Male,25.0,5.0,3.0,1,1,4,1
6.65,9.5,1.4,6.7,2.79,Low,Male,33.0,3.0,2.0,5,5,3,4
10.45,8.4,3.6,1.1,3.25,High,Male,28.0,2.0,3.0,2,1,2,3
5.6,6.8,3.8,4.3,3.05,Moderate,Male,18.0,4.0,5.0,3,3,2,1
