age,gender,study_hours,sleep_hours,social_hours,physical_activity,gpa,academic_pressure,peer_competition,anxiety,depression,irritability,sleep_problems,relationship_stress,financial_stress,study_satisfaction,burnout_risk
20.0,Female,8.0,'Less than 5 hours',2.6,4.1,7.5,5.0,4.0,2.0,1.0,4.0,4.0,4.0,5.0,3.0,Medium
19.0,Male,8.0,'Less than 5 hours',2.6,4.1,7.5,1.0,2.0,5.0,1.0,4.0,4.0,2.0,5.0,3.0,Medium
21.0,Male,8.0,'Less than 5 hours',2.6,4.1,7.5,2.0,3.0,3.0,1.0,1.0,3.0,3.0,5.0,3.0,Medium
20.0,Male,8.0,'Less than 5 hours',2.6,4.1,7.5,4.0,3.0,2.0,1.0,5.0,1.0,3.0,5.0,3.0,Low
19.0,Male,8.0,'Less than 5 hours',2.6,4.1,7.5,2.0,4.0,3.0,1.0,2.0,2.0,2.0,5.0,3.0,Low
19.0,Male,8.0,'Less than 5 hours',2.6,4.1,7.5,1.0,4.0,2.0,1.0,1.0,3.0,2.0,5.0,3.0,Low
18.0,Male,8.0,'Less than 5 hours',2.6,4.1,7.5,4.0,4.0,1.0,1.0,1.0,4.0,2.0,5.0,3.0,Medium
19.0,Male,8.0,'Less than 5 hours',2.6,4.1,7.5,3.0,2.0,4.0,1.0,2.0,1.0,3.0,5.0,3.0,Medium
21.0,Male,8.0,'Less than 5 hours',2.6,4.1,7.5,1.0,3.0,4.0,1.0,3.0,3.0,2.0,5.0,3.0,Medium
19.0,Male,8.0,'Less than 5 hours',2.6,4.1,7.5,1.0,2.0,3.0,1.0,4.0,2.0,1.0,5.0,3.0,Low
20.0,Female,8.0,'Less than 5 hours',2.6,4.1,7.5,5.0,5.0,2.0,1.0,3.0,2.0,3.0,5.0,3.0,Medium
17.0,Male,8.0,'Less than 5 hours',2.6,4.1,7.5,3.0,5.0,1.0,1.0,2.0,2.0,3.0,5.0,3.0,Low
19.0,Male,8.0,'Less than 5 hours',2.6,4.1,7.5,2.0,3.0,4.0,1.0,2.0,1.0,1.0,5.0,3.0,Medium
19.0,Male,8.0,'Less than 5 hours',2.6,4.1,7.5,1.0,3.0,2.0,1.0,4.0,3.0,3.0,5.0,3.0,Low
20.0,Female,8.0,'Less than 5 hours',2.6,4.1,7.5,1.0,3.0,1.0,1.0,2.0,4.0,3.0,5.0,3.0,Low
21.0,Male,8.0,'Less than 5 hours',2.6,4.1,7.5,2.0,1.0,1.0,1.0,2.0,5.0,1.0,5.0,3.0,Low
20.0,Male,8.0,'Less than 5 hours',2.6,4.1,7.5,4.0,5.0,2.0,1.0,4.0,2.0,2.0,5.0,3.0,Medium
21.0,Female,8.0,'Less than 5 hours',2.6,4.1,7.5,3.0,2.0,2.0,1.0,2.0,5.0,2.0,5.0,3.0,Medium
20.0,Female,8.0,'Less than 5 hours',2.6,4.1,7.5,3.0,4.0,2.0,1.0,4.0,2.0,1.0,5.0,3.0,Low
19.0,Male,8.0,'Less than 5 hours',2.6,4.1,7.5,1.0,2.0,3.0,1.0,1.0,1.0,1.0,5.0,3.0,Low
20.0,Male,8.0,'Less than 5 hours',2.6,4.1,7.5,1.0,1.0,3.0,1.0,1.0,5.0,4.0,5.0,3.0,Medium
20.0,Male,8.0,'Less than 5 hours',2.6,4.1,7.5,3.0,1.0,2.0,1.0,4.0,4.0,1.0,5.0,3.0,Medium
